"Grau","glj","equidist","cheb"
15,0.04925147946628822,7.192324287742138,0.04660097519479672
16,0.09127643941859342,2.1068604877730723,0.08309430748091273
17,0.03480051165143472,14.3867603991747,0.03260902897896373
18,0.06138108005434528,4.223357792774246,0.05589700277754728
19,0.02417071278040611,29.186207063703357,0.022492164753664945
20,0.04125522442013596,8.575360826439185,0.03758185458922003
21,0.016563351461061915,59.768399059191566,0.015333384003373807
22,0.027722415179156967,17.602048487622582,0.02526178588654937
23,0.01123529010664015,123.61807766057046,0.010358901523548292
24,0.018627340237927892,36.395623192147866,0.0169786052268196
25,0.00755946040360822,257.21247481034436,0.006947268930884265
26,0.012515934423211306,75.76386568988288,0.011410833923378938
27,0.0050539593800286164,538.1716397032399,0.004634418493389081
28,0.00840965234350155,158.69210212531505,0.007668697384357714
29,0.0033624553865592155,1130.7416064571887,0.003078214388764322
30,0.005650648542965597,333.9416665132435,0.0051537081435114596
31,0.002229237874117218,2384.72856827992,0.0020612652593430814
32,0.0037968595113593295,704.0759210504285,0.003463493504105686
33,0.0015099747138278552,5058.987396238796,0.0014017442593826646
34,0.002551268829444897,1494.3806583464172,0.002327589149394571
35,0.0010253715591656554,10719.901146881022,0.0009487948764948517
